country,year,region,rank,score,social_support,health,freedom,trust,generosity,social_support_std,health_std,freedom_std,trust_std,generosity_std,gdp_std,total_area,pop,cumulative_cases,cumulative_deaths
Poland,2021,Europe,44,6.166,0.898,69.702,0.841,0.735,-0.165,0.727100134,0.698765737,0.437382192,-0.042269464,-0.998105113,0.822539367,312679,37797,1586613,46661
Romania,2021,Europe,46,6.14,0.832,67.355,0.845,0.938,-0.219,0.150695239,0.350510679,0.472795829,-1.178735678,-1.357744778,0.73766935,238391,19128,453737,16289
Colombia,2021,South America,52,6.012,0.847,68.001,0.837,0.841,-0.135,0.281696352,0.44636614,0.401968554,-0.635695172,-0.798305298,0.108072393,1141748,51266,3006438,73211
Argentina,2021,South America,57,5.929,0.898,69,0.828,0.834,-0.182,0.727100134,0.594600824,0.32228787,-0.596506682,-1.111325007,0.458810725,2780400,45606,3147280,58416
Philippines,2021,Asia,61,5.88,0.83,62,0.917,0.742,-0.097,0.133228424,-0.444080643,1.110241306,-0.081457955,-0.545225534,-0.308483503,342353,111047,1035232,17484
Peru,2021,South America,63,5.84,0.832,68.25,0.822,0.891,-0.154,0.150695239,0.483313524,0.269167413,-0.915612959,-0.924845181,0.022336356,1285216,33359,1081629,101981
Russia,2021,Asia,76,5.477,0.903,64.703,0.718,0.845,-0.111,0.770767171,-0.043001214,-0.651587164,-0.658088595,-0.638465447,0.655397396,17098242,145912,2823469,92119
Indonesia,2021,Asia,82,5.345,0.811,62.236,0.873,0.867,0.542,-0.032706318,-0.409062239,0.720691292,-0.781252421,3.710510511,-0.058203557,1904569,276362,2168535,52782
Bangladesh,2021,Asia,101,5.025,0.693,64.8,0.877,0.682,-0.041,-1.063248402,-0.028608056,0.75610493,0.254443389,-0.17226588,-0.8471483,147570,166303,603800,10566
South Africa,2021,Africa,103,4.956,0.86,56.904,0.749,0.86,-0.067,0.395230649,-1.200240751,-0.377131473,-0.742063931,-0.345425719,-0.025294775,1221037,60042,1255934,38826
Turkey,2021,Asia,104,4.948,0.822,67.199,0.576,0.776,-0.139,0.063361164,0.327362921,-1.908771298,-0.271802049,-0.824945274,0.699564445,783562,85043,3335447,29912
Pakistan,2021,Asia,105,4.934,0.651,58.709,0.726,0.787,0.098,-1.430051517,-0.932409315,-0.580759889,-0.333383962,0.753473259,-0.843684218,881912,225200,512035,12734
Ukraine,2021,Europe,110,4.875,0.888,64.902,0.724,0.924,-0.011,0.639766059,-0.013472983,-0.598466708,-1.100358698,0.027533934,0.003283904,603500,43467,1189630,34198
Iraq,2021,Asia,111,4.854,0.746,60.583,0.63,0.875,-0.053,-0.600377805,-0.654339448,-1.430687191,-0.826039267,-0.252185806,-0.166456129,438317,41179,897270,5022
Iran,2021,Asia,118,4.721,0.71,66.3,0.608,0.714,0.218,-0.914780475,0.193966544,-1.625462198,0.075296006,1.552672517,0.131454948,1648195,85029,2304510,32066
India,2021,Asia,139,3.819,0.603,60.633,0.893,0.774,0.089,-1.849255076,-0.646920295,0.89775948,-0.260605338,0.693533315,-0.586476107,3287590,1393409,20877555,265370
