year,country,region,rank,score,social_support,health,freedom,trust,generosity,social_support_std,health_std,freedom_std,trust_std,generosity_std,gdp_std,total_area
2015,Malaysia,Asia,61,5.77,1.07023,0.72394,0.53024,0.10501,0.33075,0.291647742,0.380360025,0.676530047,-0.321025279,0.740037857,0.693611054,330803
2015,Croatia,Europe,62,5.759,0.79624,0.78805,0.25883,0.0243,0.05444,-0.717502006,0.640658023,-1.130278374,-0.995555667,-1.447977423,0.588296306,56594
2015,Libya,Africa,63,5.754,1.11862,0.7038,0.41668,0.11023,0.18295,0.469875985,0.298588044,-0.079452283,-0.277399351,-0.43034562,0.710010491,1759540
2015,Russia,Europe,64,5.716,1.23617,0.66926,0.36679,0.03005,0.00199,0.90283176,0.158349503,-0.411575905,-0.947500287,-1.863313102,0.725414515,17098242
2015,Jamaica,South America,65,5.709,1.15102,0.68741,0.50442,0.02299,0.2123,0.589210456,0.23204173,0.504643258,-1.006503936,-0.197931851,-0.088983036,10991
2015,North Cyprus,Europe,66,5.695,1.07008,0.92356,0.49027,0.1428,0.26169,0.291095267,1.190852714,0.410445037,-0.005196963,0.193172614,0.900657061,3355
2015,Cyprus,Europe,67,5.689,0.89318,0.92356,0.40672,0.06146,0.30638,-0.360456214,1.190852714,-0.145757179,-0.684992549,0.547059201,0.900831258,9251
2015,Algeria,Africa,68,5.605,1.07772,0.61766,0.28579,0.17383,0.07822,0.31923463,-0.05115567,-0.95080247,0.25413494,-1.259670799,0.231813848,2381741
2015,Kosovo,Europe,69,5.589,0.81198,0.63132,0.24749,0.04741,0.2831,-0.659529026,0.004306358,-1.205770093,-0.802414826,0.362711925,-0.111130987,10887
2015,Turkmenistan,Europe,70,5.548,1.22668,0.53886,0.4761,0.30844,0.16979,0.867878546,-0.37109768,0.316113674,1.379132283,-0.534555678,0.279543925,488100
2015,Mauritius,Africa,71,5.477,0.98521,0.7095,0.56066,0.07521,0.37744,-0.021494751,0.321731058,0.87903958,-0.57007751,1.109761838,0.401830473,2040
2015,Hong Kong,Asia,72,5.474,1.05818,1.01328,0.59608,0.37124,0.39478,0.247265631,1.555131865,1.114834703,1.903980609,1.247072051,1.343566296,1104
2015,Estonia,Europe,73,5.429,1.22791,0.77361,0.44888,0.15184,0.0868,0.872408836,0.582029055,0.134906919,0.070354452,-1.191728375,0.760502841,45227
2015,Indonesia,Asia,74,5.399,1.08708,0.63793,0.46611,0,0.51535,0.353709033,0.031144133,0.249609064,-1.198641882,2.201829397,-0.044463168,1904569
2015,Vietnam,Asia,75,5.36,0.91226,0.74676,0.59444,0.10441,0.1686,-0.29018147,0.473013282,1.103917029,-0.326039753,-0.543978928,-0.532489519,331212
2015,Turkey,Africa,76,5.332,0.94632,0.73172,0.22815,0.15746,0.12253,-0.164732948,0.411948208,-1.334518757,0.117323362,-0.908793317,0.534643519,783562
2015,Kyrgyzstan,Europe,77,5.286,1.15115,0.65088,0.43477,0.04232,0.3003,0.589689267,0.083723436,0.040974983,-0.844954284,0.498913521,-0.925379226,199951
2015,Nigeria,Africa,78,5.268,0.90432,0.16007,0.34334,0.0403,0.27233,-0.319425782,-1.909052424,-0.567685324,-0.861836348,0.277427554,-0.477268956,923768
2015,Bhutan,Asia,79,5.253,1.10395,0.57407,0.53206,0.15445,0.47998,0.415843988,-0.22813882,0.688646002,0.092167416,1.92174507,-0.188424845,38394
2015,Azerbaijan,Europe,80,5.212,0.93793,0.64045,0.3703,0.16065,0.07799,-0.195634683,0.041375781,-0.38820942,0.143983652,-1.2614921,0.442343802,86600
2015,Pakistan,Asia,81,5.194,0.41411,0.51466,0.12102,0.10464,0.33671,-2.124948969,-0.469353982,-2.047695818,-0.324117538,0.787233293,-0.623893364,881912
2015,Jordan,Africa,82,5.192,1.05392,0.69639,0.40661,0.14293,0.11053,0.231575358,0.268502127,-0.146489462,-0.004110494,-1.003817686,0.138966654,89342
2015,Montenegro,Europe,82,5.192,0.90557,0.72521,0.1826,0.14296,0.1614,-0.314821828,0.385516451,-1.637750486,-0.00385977,-0.600993549,0.319136497,13812
2015,China,Asia,84,5.14,0.94675,0.81658,0.51697,0.02781,0.08185,-0.163149188,0.756494895,0.58819009,-0.966220991,-1.230925928,0.109452644,9706961
2015,Zambia,Africa,85,5.129,0.91612,0.29924,0.48827,0.12468,0.19591,-0.275964462,-1.343997481,0.397130801,-0.156634092,-0.327719302,-0.935084508,752612
2015,Romania,Europe,86,5.124,0.88588,0.7689,0.35068,0.00649,0.13748,-0.387343302,0.562905618,-0.518822077,-1.144401983,-0.790408791,0.491019522,238391
2015,Serbia,Europe,87,5.123,1.00964,0.74836,0.20107,0.02617,0.19231,0.068484914,0.479509566,-1.514793515,-0.979927222,-0.356226612,0.185128955,88361
2015,Portugal,Europe,88,5.102,1.13935,0.87519,0.51469,0.01078,0.13719,0.546227948,0.994461915,0.573011861,-1.108548491,-0.792705213,0.780834161,92090
2015,Latvia,Europe,89,5.098,1.09562,0.72437,0.29671,0.06332,0.18226,0.385163243,0.382105901,-0.878106741,-0.669447679,-0.435809521,0.664395668,64559
2015,Philippines,Asia,90,5.073,1.03516,0.58114,0.62545,0.12279,0.24991,0.162479226,-0.199433363,1.310354261,-0.172429686,0.099890358,-0.350428391,342353
2015,Somaliland,Africa,91,5.057,0.95152,0.43873,0.46582,0.39928,0.50318,-0.145580502,-0.777643282,0.2476785,2.138323715,2.10545885,-1.636627054,637657
2015,Morocco,Africa,92,5.013,0.64095,0.60954,0.41691,0.08546,0.07172,-1.289460342,-0.084124314,-0.077921146,-0.484413571,-1.311142332,-0.277091302,446550
2015,Macedonia,Europe,93,5.007,1.00232,0.73545,0.33457,0.05327,0.22359,0.041524163,0.427092671,-0.62606825,-0.753440126,-0.108529757,0.180102117,25713
2015,Mozambique,Africa,94,4.971,1.02626,0.09131,0.34037,0.15603,0.22269,0.129699078,-2.188230248,-0.587456965,0.105372198,-0.115656585,-1.898893625,801590
2015,Albania,Europe,95,4.959,0.80434,0.81325,0.35733,0.06413,0.14272,-0.687668389,0.742974503,-0.474552242,-0.662678138,-0.748914817,0.080958933,28748
2015,Bosnia and Herzegovina,Europe,96,4.949,0.91916,0.79081,0.09245,0.00227,0.24808,-0.264767647,0.651864113,-2.237889682,-1.179670454,0.085399142,-0.034608574,51209
2015,Lesotho,Africa,97,4.898,1.04103,0.07612,0.31767,0.12504,0.16388,0.184099391,-2.249904349,-0.738573545,-0.153625407,-0.581355179,-1.171321015,30355
2015,Dominican Republic,South America,98,4.885,1.17202,0.66825,0.57672,0.14234,0.21684,0.666556873,0.154248724,0.985952896,-0.009041394,-0.161980965,0.122517446,48671
2015,Laos,Asia,99,4.876,0.73803,0.54909,0.59591,0.24249,0.42192,-0.931898907,-0.329562061,1.113702993,0.827957966,1.461985499,-0.63576367,236800
2015,Mongolia,Asia,100,4.874,1.3006,0.60268,0.43626,0.02666,0.3323,1.140137933,-0.111977134,0.050894089,-0.975832067,0.752311837,-0.044662251,1564110
2015,Swaziland,Africa,101,4.867,1.07284,0.07566,0.30658,0.0306,0.18259,0.301260796,-2.251772031,-0.812400985,-0.942903685,-0.433196351,-0.333655674,17364
2015,Greece,Europe,102,4.857,0.92933,0.88213,0.07699,0.01397,0,-0.227309883,1.022639549,-2.340808728,-1.081888202,-1.87907131,0.766276239,131990
2015,Lebanon,Africa,103,4.839,0.80001,0.83947,0.33916,0.04582,0.21854,-0.703616483,0.849432364,-0.595512078,-0.815703183,-0.148519179,0.446698736,10452
2015,Hungary,Europe,104,4.8,1.20215,0.75905,0.32112,0.02758,0.128,0.777530565,0.522912867,-0.715606488,-0.968143207,-0.865478042,0.683856002,93028
2015,Honduras,South America,105,4.788,0.95348,0.6951,0.40148,0.06825,0.23027,-0.138361504,0.263264497,-0.180640478,-0.628245414,-0.055632859,-0.624167102,112492
2015,Tajikistan,Europe,106,4.786,0.85563,0.57379,0.47216,0.15072,0.22974,-0.498758974,-0.22927567,0.289884629,0.060994099,-0.059829768,-1.133943239,143100
2015,Tunisia,Africa,107,4.739,0.60429,0.73793,0.26268,0.06358,0.06431,-1.424485087,0.437161912,-1.104648469,-0.66727474,-1.36981988,0.087080726,163610
2015,Palestinian Territories,Africa,108,4.715,0.92558,0.66015,0.24499,0.12905,0.11251,-0.241121743,0.121361284,-1.222412888,-0.120112003,-0.988138665,-0.615830514,6220
2015,Bangladesh,Asia,109,4.694,0.43106,0.60164,0.4082,0.12569,0.21222,-2.062519361,-0.116199719,-0.135904645,-0.14819306,-0.198565347,-1.116374191,147570
2015,Iran,Africa,110,4.686,0.54447,0.69805,0.30033,0.05863,0.38086,-1.644811879,0.275242022,-0.854007973,-0.708644154,1.136843783,0.404791828,1648195
2015,Ukraine,Europe,111,4.681,1.20278,0.6739,0.25123,0.02961,0.15275,0.779850958,0.177188728,-1.180872471,-0.951177568,-0.669490282,-0.117128353,603500
2015,Iraq,Africa,112,4.677,0.81889,0.60237,0,0.13788,0.17922,-0.634078371,-0.113235789,-2.85334025,-0.046315654,-0.459882361,0.346784107,438317
2015,South Africa,Africa,113,4.642,1.18468,0.27688,0.33207,0.08884,0.11973,0.713185713,-1.434783056,-0.642711045,-0.456165365,-0.93096567,0.185029414,1221037
2015,Ghana,Africa,114,4.633,0.67954,0.40132,0.42342,0.04355,0.23087,-1.147327094,-0.929534533,-0.034583307,-0.834674612,-0.05088164,-0.74794677,238533
