year,country,region,rank,score,gdp,social_support,health,freedom,trust,generosity,dystopia,Logged GDP per capita,social_support_std,health_std,freedom_std,trust_std,generosity_std,dystopia_std,gdp_std,score_std
2015,Israel,Middle East and Northern Africa,11,7.278,1.2285700000000002,1.22393,0.91387,0.41319,0.07785,0.33172,3.08854,,0.8577498487545413,1.151509591744072,-0.10268562523016782,-0.5480138223462844,0.747718992988209,1.7933521329856097,0.9516968878797354,1.6666353596123562
2015,Costa Rica,Latin America and Caribbean,12,7.226,0.95578,1.23788,0.8602700000000001,0.63376,0.10583,0.25497,3.17728,,0.9091299684218475,0.9338840623910686,1.3656749122887537,-0.3141721638712958,0.1399589671641116,1.9541726483428876,0.27284976923218485,1.6210765120202941
2015,Austria,Western Europe,13,7.2,1.33723,1.29704,0.8904200000000001,0.62433,0.18676,0.33088,2.5332,,1.127025873763625,1.0562984226521335,1.3028982886826272,0.36219686473416635,0.7410672871681145,0.7869281415667376,1.2221009639537945,1.598297088224263
2015,Mexico,Latin America and Caribbean,14,7.187,1.02054,0.91451,0.8144399999999999,0.48181,0.21312,0.14074,3.6021400000000003,,-0.2818943539305993,0.7478061144386766,0.35412581823244466,0.5824994421966645,-0.7645938373946713,2.724132127210288,0.43400721416643967,1.5869073763262476
2015,United States,North America,15,7.119,1.39451,1.24711,0.86179,0.54604,0.1589,0.40105,2.51011,,0.9431255601443724,0.9400555326264517,0.7817125132718438,0.12935810114899188,1.2967222840681394,0.7450829116861931,1.3646441765207202,1.5273304217827808
2015,Brazil,Latin America and Caribbean,16,6.983,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,3.26001,,0.8906773232940187,0.2710600387552862,0.41190960326968534,0.26566823158955877,-0.7250003503703002,2.1041014429733536,0.33620783822579403,1.408176512695848
2015,Luxembourg,Western Europe,17,6.9460000000000015,1.56391,1.21963,0.91894,0.61583,0.37798,0.28034000000000003,1.96961,,0.8419122491438307,1.1720946931213059,1.2463127849019184,1.9603098716529408,0.3408563203257713,-0.23444704718927084,1.786201791898465,1.3757596403707284
2015,Ireland,Western Europe,18,6.94,1.33596,1.36948,0.89533,0.6177699999999999,0.28703,0.45901,1.9757,,1.393834179763598,1.0762338955835367,1.2592275940001032,1.2001991197480013,1.7556899856546493,-0.22341034515494798,1.2189405261053312,1.370502850263951
2015,Belgium,Western Europe,19,6.937,1.30782,1.28566,0.8966700000000001,0.5845,0.2254,0.2225,2.4148400000000003,,1.0851114822357442,1.0816745338173623,1.0377452750843197,0.6851290192543077,-0.11716113757215438,0.5724282971032788,1.148913186691342,1.3678744552105626
2015,United Arab Emirates,Middle East and Northern Africa,20,6.901,1.42727,1.12575,0.80925,0.64157,0.38583,0.26428,2.24743,,0.49613693485231436,0.7267337917270709,1.4176670045860869,2.0259159123616137,0.213682040003491,0.2690367884717493,1.446168541808648,1.3363337145699035
